subject,bin,probE,source,draw
12,3,0.458333333333333,simulated,1
12,4,0.569444444444444,simulated,1
12,5,0.486111111111111,simulated,1
13,1,0.37037037037037,simulated,1
13,2,0.481481481481481,simulated,1
13,3,0.418181818181818,simulated,1
13,4,0.425925925925926,simulated,1
13,5,0.5,simulated,1
15,1,0.492063492063492,simulated,1
15,2,0.444444444444444,simulated,1
15,3,0.40625,simulated,1
15,4,0.46031746031746,simulated,1
15,5,0.603174603174603,simulated,1
16,1,0.625,simulated,1
16,2,0.464788732394366,simulated,1
16,3,0.611111111111111,simulated,1
16,4,0.527777777777778,simulated,1
16,5,0.444444444444444,simulated,1
17,1,0.513888888888889,simulated,1
17,2,0.5,simulated,1
17,3,0.444444444444444,simulated,1
17,4,0.569444444444444,simulated,1
17,5,0.5,simulated,1
18,1,0.396551724137931,simulated,1
18,2,0.517241379310345,simulated,1
18,3,0.491228070175439,simulated,1
18,4,0.5,simulated,1
18,5,0.53448275862069,simulated,1
19,1,0.490196078431373,simulated,1
19,2,0.56,simulated,1
19,3,0.411764705882353,simulated,1
19,4,0.42,simulated,1
19,5,0.549019607843137,simulated,1
20,1,0.541666666666667,simulated,1
20,2,0.541666666666667,simulated,1
20,3,0.569444444444444,simulated,1
20,4,0.472222222222222,simulated,1
20,5,0.444444444444444,simulated,1
21,1,0.638888888888889,simulated,1
21,2,0.569444444444444,simulated,1
21,3,0.541666666666667,simulated,1
21,4,0.444444444444444,simulated,1
21,5,0.430555555555556,simulated,1
22,1,0.563380281690141,simulated,1
22,2,0.589041095890411,simulated,1
22,3,0.486111111111111,simulated,1
22,4,0.444444444444444,simulated,1
22,5,0.513888888888889,simulated,1
23,1,0.422535211267606,simulated,1
23,2,0.436619718309859,simulated,1
23,3,0.4,simulated,1
23,4,0.464788732394366,simulated,1
23,5,0.563380281690141,simulated,1
24,1,0.529411764705882,simulated,1
24,2,0.578947368421053,simulated,1
24,3,0.486111111111111,simulated,1
24,4,0.513888888888889,simulated,1
24,5,0.569444444444444,simulated,1
25,1,0.791666666666667,simulated,1
25,2,0.625,simulated,1
25,3,0.472222222222222,simulated,1
25,4,0.388888888888889,simulated,1
25,5,0.347222222222222,simulated,1
26,1,0.611111111111111,simulated,1
26,2,0.555555555555556,simulated,1
26,3,0.458333333333333,simulated,1
26,4,0.472222222222222,simulated,1
26,5,0.430555555555556,simulated,1
2,1,0.541666666666667,simulated,2
2,2,0.597222222222222,simulated,2
2,3,0.486111111111111,simulated,2
2,4,0.472222222222222,simulated,2
2,5,0.5,simulated,2
3,1,0.422535211267606,simulated,2
3,2,0.442857142857143,simulated,2
3,3,0.561643835616438,simulated,2
3,4,0.52112676056338,simulated,2
3,5,0.47887323943662,simulated,2
7,1,0.611111111111111,simulated,2
7,2,0.513888888888889,simulated,2
7,3,0.472222222222222,simulated,2
7,4,0.458333333333333,simulated,2
7,5,0.458333333333333,simulated,2
8,1,0.375,simulated,2
8,2,0.380281690140845,simulated,2
8,3,0.5,simulated,2
8,4,0.464788732394366,simulated,2
8,5,0.638888888888889,simulated,2
9,1,0.555555555555556,simulated,2
9,2,0.492957746478873,simulated,2
9,3,0.547945205479452,simulated,2
9,4,0.513888888888889,simulated,2
9,5,0.416666666666667,simulated,2
10,1,0.277777777777778,simulated,2
10,2,0.430555555555556,simulated,2
10,3,0.408450704225352,simulated,2
10,4,0.541666666666667,simulated,2
10,5,0.583333333333333,simulated,2
11,1,0.666666666666667,simulated,2
11,2,0.535211267605634,simulated,2
11,3,0.541666666666667,simulated,2
11,4,0.436619718309859,simulated,2
11,5,0.520547945205479,simulated,2
12,1,0.597222222222222,simulated,2
12,2,0.513888888888889,simulated,2
12,3,0.402777777777778,simulated,2
12,4,0.577464788732394,simulated,2
12,5,0.465753424657534,simulated,2
13,1,0.283018867924528,simulated,2
13,2,0.563636363636364,simulated,2
13,3,0.436363636363636,simulated,2
13,4,0.425925925925926,simulated,2
13,5,0.5,simulated,2
15,1,0.492063492063492,simulated,2
15,2,0.516129032258065,simulated,2
15,3,0.4,simulated,2
15,4,0.435483870967742,simulated,2
15,5,0.609375,simulated,2
16,1,0.680555555555556,simulated,2
